留言主题,clean_review,cut_review,地区,主谓宾
A1区苏家巷社区重建房屋严重影响我家房屋采光！,A1区苏家巷社区重建房屋严重影响我家房屋采光,A1 区 苏家巷 社区 重建 房屋 影响 我家 房屋 采光,A1区,"社区重建房屋,（副词：严重）"
A1区五一东村老小区绿化带被用做停车场,A1区五一东村老小区绿化带被用做停车场,A1 区 五一 东村 小区 绿化带 用做 停车场,A1区,"用做停车场,（副词：被）"
A1区马王堆沁园小区b区停车位被个人占用了！,A1区马王堆沁园小区b区停车位被个人占用了,A1 区 马王堆 沁园 小区 b 区 停车位 占用,A1区,"个人占用停车位,（副词：被）"
A1区金楚北苑的居民购电很困难,A1区金楚北苑的居民购电很困难,A1 区金楚 北苑 居民 购电 困难,A1区,"居民困难,（副词：很）"
A1区白沙路10号老百姓大药房为住改商,A1区白沙路10号老百姓大药房为住改商,A1 区 白沙 路 10 号 老百姓 药房 住 改商,A1区,"药房为住,（副词：）"
反映A1区东岸乡新安村八组拆迁问题,反映A1区东岸乡新安村八组拆迁问题,A1 区 东岸 乡 新安 村八组 拆迁,A1区,"反映问题,（副词：）"
A1区鑫科明珠7栋青年公寓装修材质差,A1区鑫科明珠7栋青年公寓装修材质差,A1 区鑫科 明珠 栋 青年 公寓 装修 材质 差,A1区,"材质差,（副词：）"
A1区火星镇兴和社区没有提供供老百姓休闲的地方,A1区火星镇兴和社区没有提供供老百姓休闲的地方,A1 区 火星 镇兴 社区 提供 供 老百姓 休闲 地方,A1区,"镇兴提供休闲,（副词：没有）"
A1区杨家山社区卫生局宿舍环境脏乱差,A1区杨家山社区卫生局宿舍环境脏乱差,A1 区 杨家山 社区 卫生局 宿舍 环境 脏乱差,A1区,"环境脏乱差,（副词：）"
A1区雍景园小区内的麻将馆严重扰民,A1区雍景园小区内的麻将馆严重扰民,A1 区雍 景园 区内 麻将馆 扰民,A1区,"麻将馆扰民,（副词：严重）"
A1区教育局对鑫科明珠小区学区划分不公正,A1区教育局对鑫科明珠小区学区划分不公正,A1 区 教育局 对鑫科 明珠 小区 学区 划分 公正,A1区,"学区划分,（副词：不）"
A1区定王台派出所边上危房存在安全隐患,A1区定王台派出所边上危房存在安全隐患,A1 区定 王台 派出所 边上 危房 安全隐患,A1区,"危房存在安全隐患,（副词：）"
A1区东方新城小区E6栋2单元有人违规停放电动车,A1区东方新城小区E6栋2单元有人违规停放电动车,A1 区 东方 新城 小区 E6 栋 单元 有人 违规 停放 电动车,A1区,"单元违规电动车,（副词：）"
A1区A市乐敏食品有限公司严重侵犯员工的合法权益,A1区A市乐敏食品有限公司严重侵犯员工的合法权益,A1 区 市乐敏 食品 有限公司 侵犯 员工 合法权益,A1区,"有限公司侵犯员工,（副词：严重）"
A1区乔庄社区大多数楼栋楼梯间都没有路灯，请电力部门恢复,A1区乔庄社区大多数楼栋楼梯间都没有路灯请电力部门恢复,A1 区乔庄 社区 楼栋 楼梯间 路灯 请 电力部门 恢复,A1区,"楼梯间没有路灯,（副词：都）"
A1区远大路红旗路口到A7县东四路口段归谁?,A1区远大路红旗路口到A7县东四路口段归谁,A1 区 远大路 红旗 路口 A7 县 东四 路口 段,A1区,"路口归谁,（副词：到）"
请公开A1区东成大厦的相关规划文件,请公开A1区东成大厦的相关规划文件,请 公开 A1 区东成 大厦 相关 规划 文件,A1区,"请公开,（副词：）"
A1区伍家岭生活广场各种脏乱差，物业不管,A1区伍家岭生活广场各种脏乱差物业不管,A1 区伍 家岭 生活 广场 脏乱差 物业,A1区,"物业不管,（副词：）"
再次呼吁严惩A1区新华大厦黑款中介，维护正常的经济秩序,再次呼吁严惩A1区新华大厦黑款中介维护正常的经济秩序,呼吁 严惩 A1 区 新华 大厦 黑款 中介 维护 经济秩序,A1区,"中介呼吁严惩,（副词：再次）"
A1区新长福C5市路店周边堆满杂物影响消防安全,A1区新长福C5市路店周边堆满杂物影响消防安全,A1 区新 长福 C5 市路店 周边 堆满 杂物 影响 消防安全,A1区,"周边堆满杂物,（副词：）"
A1区工商银行靠近A1区广场1号口的分行半夜施工，噪音巨大！,A1区工商银行靠近A1区广场1号口的分行半夜施工噪音巨大,A1 区 工商银行 靠近 A1 区 广场 号口 分行 半夜 施工 噪音,A1区,"工商银行靠近,（副词：）"
请解决A1区建安新商汇大厦电梯事宜,请解决A1区建安新商汇大厦电梯事宜,请 解决 A1 区 建安 新商汇 大厦 电梯 事宜,A1区,"请解决,（副词：）"
A1区金楚北苑物业私自撤离，严重影响业主生活,A1区金楚北苑物业私自撤离严重影响业主生活,A1 区金楚 北苑 物业 私自 撤离 影响 业主 生活,A1区,"物业撤离生活,（副词：私自）"
A1区德政园社区麻将馆噪音扰民,A1区德政园社区麻将馆噪音扰民,A1 区 德政 园 社区 麻将馆 噪音 扰民,A1区,"噪音扰民,（副词：）"
A1区辉煌国际城二期居民楼下商铺没有配套专用烟道，非法开饭店,A1区辉煌国际城二期居民楼下商铺没有配套专用烟道非法开饭店,A1 区 辉煌 国际 城 二期 居民 楼下 商铺 配套 专用 烟道 非法 开 饭店,A1区,"商铺配套烟道,（副词：没有）"
A1区大同瑞致小学违规使用家校通平台,A1区大同瑞致小学违规使用家校通平台,A1 区 大同 瑞致 小学 违规 家校通 平台,A1区,"小学违规平台,（副词：）"
A1区识字里小区有车乱停乱放,A1区识字里小区有车乱停乱放,A1 区 识字 里 小区 有车 乱 停 乱放,A1区,"小区有车乱放,（副词：乱）"
A1区朝阳街道解放东路二里牌向韶村马路占道经营严重,A1区朝阳街道解放东路二里牌向韶村马路占道经营严重,A1 区 朝阳 街道 解放 东路 二里 牌向韶村 马路 占 道 经营,A1区,"街道解放马路,（副词：）"
A1区朝阳生鲜市场一店铺占道经营，有安全隐患,A1区朝阳生鲜市场一店铺占道经营有安全隐患,A1 区 朝阳 生鲜 市场 店铺 占 道 经营 安全隐患,A1区,"店铺占道,（副词：）"
A1区朝阳街道解放东路二里牌向韶村马路市场死灰复燃,A1区朝阳街道解放东路二里牌向韶村马路市场死灰复燃,A1 区 朝阳 街道 解放 东路 二里 牌向韶村 马路 市场 死灰复燃,A1区,"市场死灰复燃,（副词：）"
A1区A9市河畔小区物业很差,A1区A9市河畔小区物业很差,A1 区 A9 市 河畔 小区 物业 很差,A1区,"很差,（副词：）"
反对在A1区汇一城小区边建110KV高压变电站,反对在A1区汇一城小区边建110KV高压变电站,反对 A1 区汇 一城 小区 边建 110KV 高压 变电站,A1区,"小区反对边建,（副词：在）"
A1区乔庄巷摊贩长期占道经营,A1区乔庄巷摊贩长期占道经营,A1 区乔 庄巷 摊贩 长期 占 道 经营,A1区,"摊贩占道,（副词：长期）"
A1区东方新城H4栋烤面筋店油烟扰民,A1区东方新城H4栋烤面筋店油烟扰民,A1 区 东方 新城 H4 栋 烤 面筋 店 油烟 扰民,A1区,"新城扰民油烟,（副词：栋）"
A1区同鑫家园小区厕所、地漏反水,A1区同鑫家园小区厕所地漏反水,A1 区同鑫 家园 小区 厕所 地漏 反水,A1区,"地漏反水,（副词：）"
A1区东湖街道合平路二期附近的非法洗沙场扰民,A1区东湖街道合平路二期附近的非法洗沙场扰民,A1 区 东湖 街道 合平路 二期 非法 洗 沙场 扰民,A1区,"洗沙场,（副词：非法）"
A1区农科家园B2栋楼下超市前面摊贩摆摊无人管,A1区农科家园B2栋楼下超市前面摊贩摆摊无人管,A1 区 农科 家园 B2 栋 楼下 超市 摊贩 摆摊 无人管,A1区,"超市摆摊,（副词：）"
A1区A9市河汉桥东岸附近步行道减速带存在安全隐患,A1区A9市河汉桥东岸附近步行道减速带存在安全隐患,A1 区 A9 市 河汉 桥 东岸 步行 道 减速带 安全隐患,A1区,"道存在安全隐患,（副词：）"
A1区鑫苑A1区鑫家楼盘严重质价不符,A1区鑫苑A1区鑫家楼盘严重质价不符,A1 区鑫苑 A1 区鑫家 楼盘 质价 不符,A1区,"质价不符,（副词：）"
A1区东玺门小区内部停车位被改成商用停车场,A1区东玺门小区内部停车位被改成商用停车场,A1 区东玺 门 小区 内部 停车位 改成 商用 停车场,A1区,"改成停车场,（副词：被）"
A1区社保局咨询电话形同虚设,A1区社保局咨询电话形同虚设,A1 区 社保局 咨询电话 形同虚设,A1区,"咨询电话形同虚设,（副词：）"
A1区东屯渡街道扬帆小区夜宵噪音很大,A1区东屯渡街道扬帆小区夜宵噪音很大,A1 区东 屯渡 街道 扬帆 小区 夜宵 噪音 很大,A1区,"噪音很大,（副词：）"
反映A1区火炬路电缆铺设影响交通的问题,反映A1区火炬路电缆铺设影响交通的问题,A1 区 火炬 路 电缆 铺设 影响 交通,A1区,"电缆反映铺设,（副词：）"
举报A1区华天大酒店12楼紫东阁涉黄,举报A1区华天大酒店12楼紫东阁涉黄,举报 A1 区 华天 大酒店 12 楼 紫东阁 涉黄,A1区,"举报涉黄,（副词：）"
A1区荷花园街道华城广场楼下修地铁也太吵了,A1区荷花园街道华城广场楼下修地铁也太吵了,A1 区荷 花园 街道 华城 广场 楼下 修 地铁 太 吵,A1区,"修地铁,（副词：楼下）"
A1区三楚南湖汽配市场停车时间过长物业锁车罚款是否合法,A1区三楚南湖汽配市场停车时间过长物业锁车罚款是否合法,A1 区三楚 南湖 汽配 市场 停车 时间 过长 物业 锁车 罚款 合法,A1区,"时间过长物业,（副词：是否）"
举报A1区老地方美食广场虚假招商,举报A1区老地方美食广场虚假招商,举报 A1 区 地方 美食 广场 虚假 招商,A1区,"举报招商,（副词：）"
A1区长房白沙湾小区外噪音很大,A1区长房白沙湾小区外噪音很大,A1 区长 房 白沙湾 小区 外 噪音 很大,A1区,"噪音很大,（副词：）"
请公开A1区东成大厦的相关规划文件,请公开A1区东成大厦的相关规划文件,请 公开 A1 区东成 大厦 相关 规划 文件,A1区,"请公开,（副词：）"
反映A1区“鑫楚佳园”小区的乱象和隐患,反映A1区鑫楚佳园小区的乱象和隐患,A1 区鑫楚 佳园 小区 乱象 隐患,A1区,"反映乱象,（副词：）"
A1区老地方美食广场没有消防证却能正常营业,A1区老地方美食广场没有消防证却能正常营业,A1 区 地方 美食 广场 消防 证 营业,A1区,"广场没有证,（副词：却）"
请求督促A1区政府解决我家居住权,请求督促A1区政府解决我家居住权,请求 督促 A1 区政府 解决 我家 居住权,A1区,"请求督促,（副词：）"
A1区新安安置小区6栋三单元的下水井堵塞了,A1区新安安置小区6栋三单元的下水井堵塞了,A1 区 新安 安置 小区 栋 单元 水井 堵塞,A1区,"下水井,（副词：）"
反映A1区隆平高科拆迁项目中的违规行为,反映A1区隆平高科拆迁项目中的违规行为,A1 区隆平 高科 拆迁 项目 中 违规行为,A1区,"反映违规行为,（副词：）"
A1区马王堆街道新桥新村同鑫家园房屋漏水问题迟迟不解决,A1区马王堆街道新桥新村同鑫家园房屋漏水问题迟迟不解决,A1 区 马王堆 街道 新桥 新村 同鑫 家园 房屋 漏水 迟迟 解决,A1区,"解决问题,（副词：迟迟）"
A1区东盈商业广场开发商欺骗、愚弄全体业主,A1区东盈商业广场开发商欺骗愚弄全体业主,A1 区东盈 商业广场 开发商 欺骗 愚弄 业主,A1区,"开发商欺骗业主,（副词：）"
A1区紫薇路上的美聚酒店噪声扰民！,A1区紫薇路上的美聚酒店噪声扰民,A1 区 紫薇 路上 美聚 酒店 噪声 扰民,A1区,"美聚扰民噪声,（副词：）"
A1区辉煌国际城居民楼下商铺违法开饭店，老百姓从何谈安居乐业？,A1区辉煌国际城居民楼下商铺违法开饭店老百姓从何谈安居乐业,A1 区 辉煌 国际 城 居民 楼下 商铺 违法 开 饭店 老百姓 何谈 安居乐业,A1区,"商铺违法饭店,（副词：从）"
A1区马坡岭街道居民区附近怎么能建大型变电站？,A1区马坡岭街道居民区附近怎么能建大型变电站,A1 区马坡 岭 街道 居民区 能建 大型 变电站,A1区,"能建变电站,（副词：附近）"
举报A1区东业上城嘉苑小区物业公司违法封堵消防通道,举报A1区东业上城嘉苑小区物业公司违法封堵消防通道,举报 A1 区东业 上城 嘉苑 小区 物业公司 违法 封堵 消防通道,A1区,"物业公司举报违法,（副词：）"
A1区马坡岭街道新安小区门面老板放养狗伤人后谁能管？,A1区马坡岭街道新安小区门面老板放养狗伤人后谁能管,A1 区马坡 岭 街道 新安 小区 门面 老板 放养 狗 伤人 能管,A1区,"老板能管伤人,（副词：后）"
A1区朝阳社区金三角超市对面的烧烤摊位油烟扰民,A1区朝阳社区金三角超市对面的烧烤摊位油烟扰民,A1 区 朝阳 社区 金三角 超市 对面 烧烤 摊位 油烟 扰民,A1区,"油烟扰民,（副词：）"
反映A1区星城世家全体业主急盼关注解决六号路交通安全隐患问题,反映A1区星城世家全体业主急盼关注解决六号路交通安全隐患问题,A1 区星 城 世家 业主 急盼 关注 解决 六号 路 交通 安全隐患,A1区,"反映关注,（副词：急盼）"
A1区农业大学滨河小区麻将馆扰民严重,A1区农业大学滨河小区麻将馆扰民严重,A1 区 农业大学 滨河 小区 麻将馆 扰民,A1区,"麻将馆扰民,（副词：）"
请整治A1区荷花园街道老屋园路的停车乱象,请整治A1区荷花园街道老屋园路的停车乱象,请 整治 A1 区荷 花园 街道 老屋 园路 停车 乱象,A1区,"请整治,（副词：）"
请修复A1区古曲路和远大路交叉口人行横道,请修复A1区古曲路和远大路交叉口人行横道,请 修复 A1 区 古曲 路 远大路 交叉口 人行横道,A1区,"请修复,（副词：）"
A1区解放西路老地方餐饮管理有限公司没有消防安检证却能正常营业,A1区解放西路老地方餐饮管理有限公司没有消防安检证却能正常营业,A1 区 解放 西路 地方 餐饮 管理 有限公司 消防 安检 证 营业,A1区,"有限公司没有证,（副词：却）"
投诉A1区马王堆福顺达驾校不发工资,投诉A1区马王堆福顺达驾校不发工资,投诉 A1 区 马王堆 福 顺达 驾校 发工资,A1区,"驾校投诉发工资,（副词：不）"
A1区物资储备局借空车位停下车为何不被允许？,A1区物资储备局借空车位停下车为何不被允许,A1 区 物资 储备 局借 空车 位 停下 车,A1区,"位停下车,（副词：为何）"
A1区凯通国际城消防设施设备瘫痪数年,A1区凯通国际城消防设施设备瘫痪数年,A1 区凯通 国际 城 消防设施 设备 瘫痪 数年,A1区,"数年,（副词：）"
反映A1区古汉路马王堆邮政宿舍三供一业改造工程的问题,反映A1区古汉路马王堆邮政宿舍三供一业改造工程的问题,A1 区 古汉 路 马王堆 邮政 宿舍 三供 一业 改造 工程,A1区,"反映问题,（副词：）"
投诉A1区非法进行棚改,投诉A1区非法进行棚改,投诉 A1 区 非法 棚改,A1区,"A1区投诉棚改,（副词：非法）"
A1区先锋东外滩小区居民楼办少儿培训班，太扰民,A1区先锋东外滩小区居民楼办少儿培训班太扰民,A1 区 先锋 东 外滩 小区 居民楼 办 少儿 培训班 太 扰民,A1区,"居民楼办培训班,（副词：太）"
A1区车站北路王府花园二栋六楼有高空坠物隐患,A1区车站北路王府花园二栋六楼有高空坠物隐患,A1 区 车站 北路 王府 花园 二栋 六楼 高空 坠物 隐患,A1区,"六楼有隐患,（副词：）"
A1区马王堆扰民现象还是存在,A1区马王堆扰民现象还是存在,A1 区 马王堆 扰民 现象,A1区,"现象存在,（副词：还是）"
A1区长郡A1区实验中学成绩一般的孩子不能去补课？,A1区长郡A1区实验中学成绩一般的孩子不能去补课,A1 区长 郡 A1 区 实验 中学 成绩 孩子 补课,A1区,"孩子补课,（副词：不能）"
A1区征收工作人员弄虚作假使我失去选择产权置换的权利,A1区征收工作人员弄虚作假使我失去选择产权置换的权利,A1 区 征收 工作人员 弄虚作假 选择 产权 置换 权利,A1区,"工作人员使失去,（副词：产权）"
请求公开A1区东成大厦申报建设成本资料,请求公开A1区东成大厦申报建设成本资料,请求 公开 A1 区东成 大厦 申报 建设 成本 资料,A1区,"大厦请求公开,（副词：）"
A1区马王堆街道新桥新村社区居民房屋被淹,A1区马王堆街道新桥新村社区居民房屋被淹,A1 区 马王堆 街道 新桥 新村 社区 居民 房屋 被淹,A1区,"被淹,（副词：）"
质疑A1区老地方美食广场无证无照经营,质疑A1区老地方美食广场无证无照经营,质疑 A1 区 地方 美食 广场 无证无照 经营,A1区,"广场质疑经营,（副词：无证无照）"
A1区才子佳郡附近工地夜间施工，噪音太大了,A1区才子佳郡附近工地夜间施工噪音太大了,A1 区 才子 佳 郡 工地 夜间 施工 噪音 太大,A1区,"噪音太大,（副词：）"
A1区才子佳郡小区无水可用,A1区才子佳郡小区无水可用,A1 区 才子 佳 郡 小区 无水 可用,A1区,"小区可用,（副词：无水）"
A1区汇一城小区高层住宅与变电站距离不到15米,A1区汇一城小区高层住宅与变电站距离不到15米,A1 区汇 一城 小区 高层住宅 变电站 距离 不到 15 米,A1区,"距离不到米,（副词：）"
A1区辉煌国际城二期商铺被开发商违法出租给别人做餐饮,A1区辉煌国际城二期商铺被开发商违法出租给别人做餐饮,A1 区 辉煌 国际 城 二期 商铺 开发商 违法 出租 做 餐饮,A1区,"开发商违法餐饮,（副词：被）"
A1区A2区华庭物业把每层楼的消防通道门都锁住了,A1区A2区华庭物业把每层楼的消防通道门都锁住了,A1 区 A2 区华庭 物业 层楼 消防通道 门 锁住,A1区,"物业锁住门,（副词：把）"
A1区紫来阁小区公共用地被侵占,A1区紫来阁小区公共用地被侵占,A1 区紫来 阁 小区 公共 用地 侵占,A1区,"侵占用地,（副词：被）"
A1区鸿运花苑安置楼楼顶被堆了好多垃圾,A1区鸿运花苑安置楼楼顶被堆了好多垃圾,A1 区 鸿运 花苑 安置 楼 楼顶 堆 好多 垃圾,A1区,"堆垃圾,（副词：被）"
投诉A1区先锋东外滩小区2栋一麻将馆扰民,投诉A1区先锋东外滩小区2栋一麻将馆扰民,投诉 A1 区 先锋 东 外滩 小区 栋 麻将馆 扰民,A1区,"投诉扰民,（副词：）"
请依法解决A1区美漾酒店无证违法施工事件,请依法解决A1区美漾酒店无证违法施工事件,请 依法 解决 A1 区美漾 酒店 无证 违法 施工 事件,A1区,"请解决,（副词：依法）"
投诉A1区博拜口腔医院霸占个人地下车库,投诉A1区博拜口腔医院霸占个人地下车库,投诉 A1 区博拜 口腔医院 霸占 地下 车库,A1区,"口腔医院投诉车库,（副词：）"
A1区沁园小区12栋悦康沐足涉嫌卖淫,A1区沁园小区12栋悦康沐足涉嫌卖淫,A1 区沁园 小区 12 栋悦 康沐足 涉嫌 卖淫,A1区,"小区康沐足卖淫,（副词：）"
A1区桐阴里小区一直夜间施工,A1区桐阴里小区一直夜间施工,A1 区桐 阴里 小区 夜间 施工,A1区,"小区施工,（副词：夜间）"
A1区古汉国际广场楼顶好多人种菜,A1区古汉国际广场楼顶好多人种菜,A1 区 古汉 国际 广场 楼顶 好多 种菜,A1区,"人种菜,（副词：）"
A1区A2区华庭负一楼车库又成垃圾场了,A1区A2区华庭负一楼车库又成垃圾场了,A1 区 A2 区华庭 负 一楼 车库 成 垃圾场,A1区,"车库成垃圾场,（副词：又）"
A1区新华大厦黑恶贷款中介强行多扣砍头息不退,A1区新华大厦黑恶贷款中介强行多扣砍头息不退,A1 区 新华 大厦 黑恶 贷款 中介 强行 多扣 砍头 息不退,A1区,"中介贷款砍头,（副词：强行）"
请求关注A1区县府坪居民点106号私房改造遗留问题,请求关注A1区县府坪居民点106号私房改造遗留问题,请求 关注 A1 区 县府 坪 居民点 106 号 私房 改造 遗留问题,A1区,"私房请求关注,（副词：）"
A1区远大路东方银座小区水管漏水已有二年了，无人管,A1区远大路东方银座小区水管漏水已有二年了无人管,A1 区 远大路 东方 银座 小区 水管 漏水 已有 二年 无人管,A1区,"水管漏水二年,（副词：）"
A1区老地方美食广场无消防手续正常营业四个月,A1区老地方美食广场无消防手续正常营业四个月,A1 区 地方 美食 广场 消防 手续 营业 四个,A1区,"广场无手续,（副词：）"
严重举报A1区华海3c朝阳菜市场附近夜宵摊门店口摆满桌椅,严重举报A1区华海3c朝阳菜市场附近夜宵摊门店口摆满桌椅,举报 A1 区华海 3c 朝阳 菜市场 夜宵 摊 门店 口 摆满 桌椅,A1区,"夜宵举报摊,（副词：严重）"
A1区碧云天大厦无良歌厅非法KTV歌厅，扰民,A1区碧云天大厦无良歌厅非法KTV歌厅扰民,A1 区 碧云天 大厦 无良 歌厅 非法 KTV 歌厅 扰民,A1区,"歌厅扰民,（副词：）"
A1区马王堆陶瓷城B区停车越来越乱，消防通道被堵,A1区马王堆陶瓷城B区停车越来越乱消防通道被堵,A1 区 马王堆 陶瓷 城 B 区 停车 越来越 乱 消防通道 堵,A1区,"区停车消防通道,（副词：被）"
A1区蔡锷南路A2区华庭楼顶水箱长年不洗,A1区蔡锷南路A2区华庭楼顶水箱长年不洗,A1 区 蔡锷 南路 A2 区华庭 楼顶 水箱 长年 不洗,A1区,"水箱不洗,（副词：长年）"
A1区远大一路辉煌国际城二期物业公司提供虚假场地证明,A1区远大一路辉煌国际城二期物业公司提供虚假场地证明,A1 区 远大 一路 辉煌 国际 城 二期 物业公司 提供 虚假 场地 证明,A1区,"物业公司提供场地,（副词：）"
投诉A1区德政园聚心苑一饭店违规排放油烟，占用公共通道,投诉A1区德政园聚心苑一饭店违规排放油烟占用公共通道,投诉 A1 区 德政 园聚 心苑 饭店 违规 排放 油烟 占用 公共 通道,A1区,"饭店投诉违规,（副词：）"
A1区木村安置小区广场健身舞扰民,A1区木村安置小区广场健身舞扰民,A1 区 木村 安置 小区 广场 健身 舞 扰民,A1区,"木村安置舞,（副词：）"
A1区万科金域蓝湾小区三期北门一家茶馆的招牌灯光太刺眼,A1区万科金域蓝湾小区三期北门一家茶馆的招牌灯光太刺眼,A1 区 万科 金域 蓝湾 小区 三期 北门 一家 茶馆 招牌 灯光 太 刺眼,A1区,"灯光刺眼,（副词：太）"
A1区恒大江湾二期工地长期在晚上施工扰民,A1区恒大江湾二期工地长期在晚上施工扰民,A1 区恒大 江湾 二期 工地 长期 晚上 施工 扰民,A1区,"工地施工晚上,（副词：长期）"
A1区A2区华庭地下车库要变成垃圾场了,A1区A2区华庭地下车库要变成垃圾场了,A1 区 A2 区华庭 地下 车库 垃圾场,A1区,"车库变成垃圾场,（副词：要）"
A1区乐和城停车场入口成了一夜宵市场,A1区乐和城停车场入口成了一夜宵市场,A1 区乐 城 停车场 入口 成 夜宵 市场,A1区,"停车场入口市场,（副词：）"
西地省旺银置业新A1区之都项目用五万罚款换千万违法资产合法,西地省旺银置业新A1区之都项目用五万罚款换千万违法资产合法,西地 省旺 银 置业 新 A1 区 项目 五万 罚款 换 违法 资产 合法,A1区,"银用A1区,（副词：）"
A1区地铁五号线马王堆站经常超时作业，影响居民正常休息,A1区地铁五号线马王堆站经常超时作业影响居民正常休息,A1 区 地铁 五号线 马王堆 站 超时 作业 影响 居民 休息,A1区,"站超时休息,（副词：经常）"
A1区A9市河观光带辛追塑像附近舞蹈音响声音太大,A1区A9市河观光带辛追塑像附近舞蹈音响声音太大,A1 区 A9 市河 观光 带辛 追 塑像 舞蹈 音响 声音 太,A1区,"市河观光声音,（副词：太）"
A1区中房瑞致小区前面工地施工，快要把人吵成疯子了,A1区中房瑞致小区前面工地施工快要把人吵成疯子了,A1 区中 房瑞致 小区 工地 施工 吵成 疯子,A1区,"工地施工疯子,（副词：快要）"
A1区远大一路辉煌国际城二期物业提供虚假场地证明，居民楼下商铺非法取证,A1区远大一路辉煌国际城二期物业提供虚假场地证明居民楼下商铺非法取证,A1 区 远大 一路 辉煌 国际 城 二期 物业 提供 虚假 场地 证明 居民 楼下 商铺 非法 取证,A1区,"物业提供场地,（副词：非法）"
A1区火星镇紫薇路89号电线私搭乱挂，道路坑坑洼洼,A1区火星镇紫薇路89号电线私搭乱挂道路坑坑洼洼,A1 区 火星 镇 紫薇 路 89 号 电线 私搭乱 挂 道路 坑坑洼洼,A1区,"电线挂道路,（副词：私搭乱）"
A1区望龙路南延线会不会跨过A9市河,A1区望龙路南延线会不会跨过A9市河,A1 区望 龙 路南 延线 跨过 A9 市河,A1区,"延线跨过市河,（副词：会）"
