留言主题,clean_review,cut_review,地区,关键词,留言详情中的实体,留言主题中的实体
A1区蓉芙华天酒店二楼楚水源足浴非法经营涉黄项目,A1区蓉芙华天酒店二楼楚水源足浴非法经营涉黄项目,A1区 蓉 芙 华天 酒店 二楼 楚 水源 足浴 非法经营 涉黄 项目,A1区,"['A1区', '足浴', '涉黄', '华天', '非法经营']","['A市A2区', '黄兵梅', '塘路', '嘉园', 'A2区新开铺', '塘路', '嘉园', '至省', '嘉园', 'A市', '中华人民共和国', '嘉园']",['A1区蓉芙华天酒店二楼楚']
A1区鑫科明珠小区学生读不了育才二小,A1区鑫科明珠小区学生读不了育才二小,A1区 鑫科 明珠 小区 学生 读 育才 二小,A1区,"['A1区', '鑫科', '二小', '育才', '明珠']","['A3区洋湖', '顺路', '福祥家园洋湖公馆万科白鹭郡', '洋湖新城', '洋湖壹号小区', 'A市', '洋湖新城', '洋湖壹号小区', '洋湖', 'A市', '洋湖壹号小区']",['A1区鑫科明珠小区']
A1区东方家园土地被贪，农民维权艰难,A1区东方家园土地被贪农民维权艰难,A1区 东方 家园 土地 贪 农民 维权 艰难,A1区,"['A1区', '家园', '维权', '艰难', '东方']",['兰亭'],['A1区东方家园土地']
A1区佳兆业时代广场排水偷工减料,A1区佳兆业时代广场排水偷工减料,A1区 佳兆业 时代广场 排水 偷工减料,A1区,"['A1区', '佳兆业', '时代广场', '偷工减料', '排水']",['A市四医院'],['A1区']
反映A1区五一中路粮贸大厦高空坠物问题,反映A1区五一中路粮贸大厦高空坠物问题,A1区 五一 中路 粮贸 大厦 高空 坠物,A1区,"['A1区', '粮贸', '坠物', '五一', '中路']","['A市', '适婚年龄', 'A市', 'A市', 'A市', 'A市', 'A市', 'A市', 'A市']",['A1区']
A1区解放东路49号一楼住改商,A1区解放东路49号一楼住改商,A1区 解放 东路 49 号 一楼 住 改商,A1区,"['A1区', '49', '改商', '一楼', '东路']","['A市', '泉塘昌']","['A1区', '东路']"
A1区东岸锦城A、B区交界处的多家铝合金门窗加工店发出刺耳的切割声,A1区东岸锦城AB区交界处的多家铝合金门窗加工店发出刺耳的切割声,A1区 东岸 锦城 AB 区 交界处 多家 铝合金 门窗 加工 店 发出 刺耳 切割 声,A1区,"['A1区', '锦城', 'AB', '刺耳', '铝合金']","['A市', '泉塘昌']","['A1区', '锦城']"
A1区苏家巷社区重建房屋严重影响我家房屋采光！,A1区苏家巷社区重建房屋严重影响我家房屋采光,A1区 苏家巷 社区 重建 房屋 影响 我家 房屋 采光,A1区,"['房屋', 'A1区', '苏家巷', '采光', '社区']","['A8县', '大屯营乡韶河村三组', '中华人民共和国', '黄明德', '黄永成']",['A1区苏家巷']
A1区五一东村老小区绿化带被用做停车场,A1区五一东村老小区绿化带被用做停车场,A1区 五一 东村 小区 绿化带 用做 停车场,A1区,"['A1区', '东村', '绿化带', '用做', '停车场']","['A市', '北路']","['A1区', '东村']"
A1区马王堆沁园小区b区停车位被个人占用了！,A1区马王堆沁园小区b区停车位被个人占用了,A1区 马王堆 沁园 小区 b 区 停车位 占用,A1区,"['A1区', '沁园', '停车位', '马王堆', '占用']","['洞井村委会', '洞井村', '洞井村委会', '洞井村', '如原威旺大酒店', '洞井村委会', '德庆', '洞井村委会', '洞井村委会', '洞井村']","['A1区', '马王堆', '沁园']"
A1区金楚北苑的居民购电很困难,A1区金楚北苑的居民购电很困难,A1区 金楚 北苑 居民 购电 困难,A1区,"['北苑', 'A1区', '金楚', '购电', '困难']","['A市', 'A市金茂府', '已安开发商A市金茂府公司', 'A市', '金茂', 'A市金茂客服', 'A市', 'A市', 'A市', 'A市', 'A市', 'A市金茂梅溪湖国际广场置业有限公司', 'A市金茂梅溪湖国际广场置业有限公司', 'A市金茂公司', 'A市金茂梅溪湖国际广场置业有限公司', '楚江', 'A市', 'A市', 'A市金茂府', 'A市', 'A市', 'A市', 'A市', '西地省', 'A市', 'A市', 'A市', 'A市', '西地省', 'A市政府', 'A市', 'A市金茂府']",['A1区金楚北苑']
A1区白沙路10号老百姓大药房为住改商,A1区白沙路10号老百姓大药房为住改商,A1区 白沙 路 10 号 老百姓 药房 住 改商,A1区,"['A1区', '10', '改商', '药房', '白沙']","['A市', 'A市金茂府', '已安开发商A市金茂府公司', 'A市', 'A市', '金茂', 'A市金茂客服', 'A市', 'A市', 'A市', 'A市', 'A市金茂府方茂苑开发商A市金茂梅溪湖国际广场置业有限公司', 'A市金茂梅溪湖国际广场置业有限公司', 'A市金茂公司', 'A市金茂梅溪湖国际广场置业有限公司', '楚江', 'A市', 'A市', 'A市金茂府', 'A市', 'A市', 'A市', 'A市', '西地省', 'A市', 'A市', 'A市', 'A市', '西地省', 'A市政府', 'A市', 'A市金茂府']",['A1区白沙路']
反映A1区东岸乡新安村八组拆迁问题,反映A1区东岸乡新安村八组拆迁问题,A1区 东岸 乡 新安 村八组 拆迁,A1区,"['A1区', '村八组', '新安', '东岸', '拆迁']",['沙海'],"['A1区', '新安']"
A1区鑫科明珠7栋青年公寓装修材质差,A1区鑫科明珠7栋青年公寓装修材质差,A1区 鑫科 明珠 栋 青年 公寓 装修 材质 差,A1区,"['A1区', '鑫科', '材质', '公寓', '明珠']","['滨江', 'A市', 'A市', 'A市', 'A市A6区食品药品工商质量监督管理局', 'A市A6区食品药品工商质量监督管理局', '西地省', 'A市A6区', '以政府', 'A市人民政府办公厅', '以政府', 'A市', '建委A市发改委', 'A市', '万润', '滨江', '滨江', '滨江天著第三方造价咨询机构']",['A1区鑫科明珠']
A1区火星镇兴和社区没有提供供老百姓休闲的地方,A1区火星镇兴和社区没有提供供老百姓休闲的地方,A1区 火星 镇兴 社区 提供 供 老百姓 休闲 地方,A1区,"['A1区', '镇兴', '火星', '休闲', '社区']",[],['A1区']
A1区杨家山社区卫生局宿舍环境脏乱差,A1区杨家山社区卫生局宿舍环境脏乱差,A1区 杨家山 社区 卫生局 宿舍 环境 脏乱差,A1区,"['杨家山', '脏乱差', 'A1区', '卫生局', '宿舍']",[],['A1区杨家山社区卫生局']
A1区雍景园小区内的麻将馆严重扰民,A1区雍景园小区内的麻将馆严重扰民,A1区 雍 景园 区内 麻将馆 扰民,A1区,"['麻将馆', '景园', 'A1区', '扰民', '区内']","['A市A3区', 'A市']",['A1区']
A1区教育局对鑫科明珠小区学区划分不公正,A1区教育局对鑫科明珠小区学区划分不公正,A1区 教育局 对鑫科 明珠 小区 学区 划分 公正,A1区,"['A1区', '对鑫科', '学区', '教育局', '明珠']","['A市A3区文登爱加培训学校', 'A市']",['A1区']
A1区定王台派出所边上危房存在安全隐患,A1区定王台派出所边上危房存在安全隐患,A1区 王台 派出所 边上 危房 安全隐患,A1区,"['王台', 'A1区', '危房', '安全隐患', '派出所']",['西地省山千制药机械股份有限公司'],[]
A1区东方新城小区E6栋2单元有人违规停放电动车,A1区东方新城小区E6栋2单元有人违规停放电动车,A1区 东方 新城 小区 E6 栋 单元 有人 违规 停放 电动车,A1区,"['A1区', 'E6', '停放', '新城', '单元']","['沙东', '星沙供水公司办公室']","['A1区', '新城']"
A1区A市乐敏食品有限公司严重侵犯员工的合法权益,A1区A市乐敏食品有限公司严重侵犯员工的合法权益,A1区 A市 乐敏 食品 有限公司 侵犯 员工 合法权益,A1区,"['A1区', 'A市', '乐敏', '合法权益', '侵犯']","['A市', 'A市新华铜联官窑国际文化旅游开发有限公司', '新华铜联官窑公司石渚溪街', '石渚溪', '西地省', 'A市', '石渚溪', 'A市', 'A市', 'A市A6区', '西地省', '石渚溪', '吴琴雅']",['A1区A市乐敏食品有限公司']
A1区乔庄社区大多数楼栋楼梯间都没有路灯，请电力部门恢复,A1区乔庄社区大多数楼栋楼梯间都没有路灯请电力部门恢复,A1区 乔庄 社区 楼栋 楼梯间 路灯 请 电力部门 恢复,A1区,"['楼栋', 'A1区', '乔庄', '电力部门', '楼梯间']",['A市A1区远大路'],['A1区乔庄']
A1区远大路红旗路口到A7县东四路口段归谁?,A1区远大路红旗路口到A7县东四路口段归谁,A1区 远大路 红旗 路口 A7县 东四 路口 段,A1区,"['路口', '远大路', 'A1区', 'A7县', '东四']","['远鑫', '雅苑', '新园', '新园']","['A1区远大路', 'A7县东四']"
请公开A1区东成大厦的相关规划文件,请公开A1区东成大厦的相关规划文件,请 公开 A1区 东成 大厦 相关 规划 文件,A1区,"['A1区', '东成', '大厦', '文件', '规划']",[],['A1区东成大厦']
A1区伍家岭生活广场各种脏乱差，物业不管,A1区伍家岭生活广场各种脏乱差物业不管,A1区 伍家岭 生活 广场 脏乱差 物业,A1区,"['脏乱差', 'A1区', '伍家岭', '广场', '物业']",['A市A3区西子湖畔'],['A1区伍家岭']
再次呼吁严惩A1区新华大厦黑款中介，维护正常的经济秩序,再次呼吁严惩A1区新华大厦黑款中介维护正常的经济秩序,呼吁 严惩 A1区 新华 大厦 黑款 中介 维护 经济秩序,A1区,"['A1区', '黑款', '经济秩序', '严惩', '中介']",[],['A1区新华大厦']
A1区新长福C5市路店周边堆满杂物影响消防安全,A1区新长福C5市路店周边堆满杂物影响消防安全,A1区 新长福 C5 市路店 周边 堆满 杂物 影响 消防安全,A1区,"['A1区', '新长福', 'C5', '市路店', '消防安全']",[],['A1区']
A1区工商银行靠近A1区广场1号口的分行半夜施工，噪音巨大！,A1区工商银行靠近A1区广场1号口的分行半夜施工噪音巨大,A1区 工商银行 靠近 A1区 广场 号口 分行 半夜 施工 噪音,A1区,"['A1区', '号口', '噪音', '半夜', '分行']","['银星路交通事故', '倾城']","['A1区', 'A1区广场']"
请解决A1区建安新商汇大厦电梯事宜,请解决A1区建安新商汇大厦电梯事宜,请 解决 A1区 建安 新商汇 大厦 电梯 事宜,A1区,"['A1区', '新商汇', '电梯', '建安', '大厦']","['贺雪辉', '桥镇', 'A8县市政府']",['A1区建安新商汇大厦']
A1区金楚北苑物业私自撤离，严重影响业主生活,A1区金楚北苑物业私自撤离严重影响业主生活,A1区 金楚 北苑 物业 私自 撤离 影响 业主 生活,A1区,"['北苑', 'A1区', '金楚', '私自', '撤离']",['西地省中南大学楚雅附三医院'],['A1区金楚北苑']
A1区德政园社区麻将馆噪音扰民,A1区德政园社区麻将馆噪音扰民,A1区 德政 园 社区 麻将馆 噪音 扰民,A1区,"['麻将馆', 'A1区', '德政', '扰民', '噪音']","['A市A2区文源社区南苑花园', '西地省']",['A1区']
A1区辉煌国际城二期居民楼下商铺没有配套专用烟道，非法开饭店,A1区辉煌国际城二期居民楼下商铺没有配套专用烟道非法开饭店,A1区 辉煌 国际 城 二期 居民 楼下 商铺 配套 专用 烟道 非法 开 饭店,A1区,"['A1区', '烟道', '商铺', '二期', '楼下']",['西地省中南大学楚雅附三医院'],['A1区']
A1区大同瑞致小学违规使用家校通平台,A1区大同瑞致小学违规使用家校通平台,A1区 大同 瑞致 小学 违规 家校通 平台,A1区,"['A1区', '瑞致', '家校通', '大同', '违规']","['张坤树', '张坤树', 'A市A4区捞刀河', '张俊文', '高岭', 'A7县水渡河范家村母亲', '高岭', '王梅炎', '广西梧州藤县', '张钒海', '高岭', '张清', '河南南阳', 'A市A4区捞刀河', '王梅炎', 'A市A4区捞刀河', 'A市A4区捞刀河', 'A市', 'A市国土资源局A4区分局', 'A市A4区', '高岭', '高岭', 'A市A4区捞刀河', '镇高岭', 'A市', 'A市', 'A市政府', 'A市A4区国土资源分局', '于理', '中华人民共和国村民委员会', '高岭', 'A市A4区', '中华人民共和国村民委员会', 'A市A4区国土资源分局', '于法', 'A市A4区', '于情', '于理']",['A1区大同瑞致小学']
A1区识字里小区有车乱停乱放,A1区识字里小区有车乱停乱放,A1区 识字 里 小区 有车 乱 停 乱放,A1区,"['A1区', '乱放', '有车', '识字', '小区']","['A6区银星路康乃馨医院', '康乃馨医院']",['A1区']
A1区朝阳街道解放东路二里牌向韶村马路占道经营严重,A1区朝阳街道解放东路二里牌向韶村马路占道经营严重,A1区 朝阳 街道 解放 东路 二里 牌向韶村 马路 占 道 经营,A1区,"['A1区', '牌向韶村', '二里', '马路', '东路']","['远大路', 'A市政府']","['A1区朝阳街道', '东路二里牌向韶村']"
A1区朝阳生鲜市场一店铺占道经营，有安全隐患,A1区朝阳生鲜市场一店铺占道经营有安全隐患,A1区 朝阳 生鲜 市场 店铺 占 道 经营 安全隐患,A1区,"['A1区', '生鲜', '安全隐患', '朝阳', '店铺']",['A8县'],['A1区朝阳']
A1区朝阳街道解放东路二里牌向韶村马路市场死灰复燃,A1区朝阳街道解放东路二里牌向韶村马路市场死灰复燃,A1区 朝阳 街道 解放 东路 二里 牌向韶村 马路 市场 死灰复燃,A1区,"['A1区', '牌向韶村', '死灰复燃', '二里', '马路']",['A市'],"['A1区朝阳街道', '东路二里牌向韶村']"
A1区A9市河畔小区物业很差,A1区A9市河畔小区物业很差,A1区 A9 市 河畔 小区 物业 很差,A1区,"['A1区', 'A9', '很差', '河畔', '小区']","['西地省', '海南', '海南省卫生健康委员会', '琼卫', '海南省卫生健康委员会', '中华人民共和国人口计划生育法', '海南省', '海南省卫生健康委员会']",['A1区']
反对在A1区汇一城小区边建110KV高压变电站,反对在A1区汇一城小区边建110KV高压变电站,反对 A1区 汇一城 小区 边建 110KV 高压 变电站,A1区,"['A1区', '汇一城', '边建', '110KV', '变电站']","['A市中级人民法院', 'A市中级人民法院', '诉西地省禹泰实业有限公司', '禹泰公司', '刘武晓', '禹泰公司', '刘武晓', 'A市中级人民法院', '上海']",['A1区汇一城']
A1区乔庄巷摊贩长期占道经营,A1区乔庄巷摊贩长期占道经营,A1区 乔庄巷 摊贩 长期 占 道 经营,A1区,"['A1区', '乔庄巷', '摊贩', '经营', '长期']","['A市中级人民法院', 'A市中级人民法院', '诉西地省泰禹实业有限公司', '泰禹公司', '刘晓武', '泰禹公司', '刘晓武', 'A市中级人民法院', '上海']",['A1区乔庄巷摊贩']
A1区东方新城H4栋烤面筋店油烟扰民,A1区东方新城H4栋烤面筋店油烟扰民,A1区 东方 新城 H4 栋 烤 面筋 店 油烟 扰民,A1区,"['A1区', 'H4', '面筋', '油烟', '扰民']","['胡厨', 'A市']",['A1区']
A1区同鑫家园小区厕所、地漏反水,A1区同鑫家园小区厕所地漏反水,A1区 同鑫 家园 小区 厕所 地漏 反水,A1区,"['地漏', 'A1区', '同鑫', '反水', '家园']","['张坤树', '张坤树', 'A市A4区捞刀河', '张俊文', '高岭', 'A7县水渡河范家村母亲', '高岭', '王梅炎', '广西梧州藤县', '张钒海', '高岭', '张清', '河南南阳', 'A市A4区捞刀河', '王梅炎', 'A市A4区捞刀河', 'A市A4区捞刀河', 'A市', 'A市国土资源局A4区分局', 'A市A4区', '高岭', '高岭', 'A市A4区捞刀河', '镇高岭', 'A市', 'A市', 'A市政府', 'A市A4区国土资源分局', '于理', '中华人民共和国村民委员会', '高岭', 'A市A4区', '中华人民共和国村民委员会', 'A市A4区国土资源分局', '于法', 'A市A4区', '于情', '于理']",['A1区同鑫家园小区厕所']
A1区东湖街道合平路二期附近的非法洗沙场扰民,A1区东湖街道合平路二期附近的非法洗沙场扰民,A1区 东湖 街道 合平路 二期 非法 洗 沙场 扰民,A1区,"['A1区', '合平路', '扰民', '东湖', '沙场']","['西地省A8县', 'A市', '广州武汉', '中国', 'A市', '贵阳太远', 'A8县', '宁韶', '金唐', '金唐', 'A8县', 'A8县', '金唐', 'A8县', 'A8县', '横市沩山', 'A8县', '有炭河', '密印寺', 'A市A8县', '沩山', 'A8县A市', 'A8县', 'A8县', 'A8县', 'A8县', '沿街', 'A8县', '横市沩山', '长安', 'A市A8县', '回横市', 'A8县']","['A1区东湖', '合平路']"
A1区农科家园B2栋楼下超市前面摊贩摆摊无人管,A1区农科家园B2栋楼下超市前面摊贩摆摊无人管,A1区 农科 家园 B2 栋 楼下 超市 摊贩 摆摊 无人管,A1区,"['无人管', 'A1区', 'B2', '农科', '摊贩']","['胡厨', 'A市']",['A1区农科']
A1区A9市河汉桥东岸附近步行道减速带存在安全隐患,A1区A9市河汉桥东岸附近步行道减速带存在安全隐患,A1区 A9 市 河汉 桥 东岸 步行 道 减速带 安全隐患,A1区,"['减速带', 'A1区', 'A9', '河汉', '安全隐患']",['下柏家塘'],['A1区']
A1区鑫苑A1区鑫家楼盘严重质价不符,A1区鑫苑A1区鑫家楼盘严重质价不符,A1区 鑫苑 A1区 鑫家 楼盘 质价 不符,A1区,"['A1区', '鑫苑', '鑫家', '质价', '不符']","['A市人民政府A市公安局A市住房', 'A市澳海澜庭', 'A市澳海澜庭', 'A市十大物业']",['A1区鑫苑A1区']
A1区东玺门小区内部停车位被改成商用停车场,A1区东玺门小区内部停车位被改成商用停车场,A1区 东玺 门 小区 内部 停车位 改成 商用 停车场,A1区,"['A1区', '东玺', '停车位', '停车场', '商用']","['胡书记', '西湖']",['A1区东玺门小区']
A1区社保局咨询电话形同虚设,A1区社保局咨询电话形同虚设,A1区 社保局 咨询电话 形同虚设,A1区,"['A1区', '社保局', '形同虚设', '咨询电话']","['A6区景城苑', '石沉大海A6区', 'A6区景城苑']",['A1区']
A1区东屯渡街道扬帆小区夜宵噪音很大,A1区东屯渡街道扬帆小区夜宵噪音很大,A1区 东屯渡 街道 扬帆 小区 夜宵 噪音 很大,A1区,"['A1区', '东屯渡', '夜宵', '扬帆', '噪音']","['B市新华驾校', 'B市', 'B市']",['A1区东屯渡']
反映A1区火炬路电缆铺设影响交通的问题,反映A1区火炬路电缆铺设影响交通的问题,A1区 火炬 路 电缆 铺设 影响 交通,A1区,"['A1区', '火炬', '铺设', '电缆', '交通']",['A市英蓝中等职业学校'],['A1区']
举报A1区华天大酒店12楼紫东阁涉黄,举报A1区华天大酒店12楼紫东阁涉黄,举报 A1区 华天 大酒店 12 楼 紫东阁 涉黄,A1区,"['A1区', '12', '紫东阁', '涉黄', '华天']",[],"['A1区华天大酒店12楼', '紫东阁']"
A1区荷花园街道华城广场楼下修地铁也太吵了,A1区荷花园街道华城广场楼下修地铁也太吵了,A1区 荷 花园 街道 华城 广场 楼下 修 地铁 太 吵,A1区,"['华城', 'A1区', '地铁', '楼下', '花园']",['A市'],['A1区荷花园街道华城广场']
A1区三楚南湖汽配市场停车时间过长物业锁车罚款是否合法,A1区三楚南湖汽配市场停车时间过长物业锁车罚款是否合法,A1区 三楚 南湖 汽配 市场 停车 时间 过长 物业 锁车 罚款 合法,A1区,"['A1区', '三楚', '锁车', '汽配', '南湖']",['A市'],"['A1区三楚', '南湖']"
举报A1区老地方美食广场虚假招商,举报A1区老地方美食广场虚假招商,举报 A1区 地方 美食 广场 虚假 招商,A1区,"['A1区', '美食', '虚假', '举报', '广场']","['陈福', '江苏省宜兴市官林镇', '城村', 'A市A2区', 'A市', '李之勇', '李之勇', '李之勇', '陈福', '李之勇', 'A市A2区法院', 'A市A2区', 'A市中级人民法院A市中级人民法院', 'A市中级人民法院中院', '陈福', '向西地省', 'A市中级人民法院', 'A市中院', '陈福', '陈福如', '李之勇', '王冲', 'A2区法院', '李之勇', '陈福', '李之勇', '李之勇', '陈福', '陈福如', '陈福如', '李之勇', '陈福', '陈福', '李之勇']",['A1区']
A1区长房白沙湾小区外噪音很大,A1区长房白沙湾小区外噪音很大,A1区 长房 白沙湾 小区 外 噪音 很大,A1区,"['长房', 'A1区', '白沙湾', '噪音', '小区']","['A7县楚龙街道山水湾小区', 'A市', 'A市']",['A1区长房白沙湾']
请公开A1区东成大厦的相关规划文件,请公开A1区东成大厦的相关规划文件,请 公开 A1区 东成 大厦 相关 规划 文件,A1区,"['A1区', '东成', '大厦', '文件', '规划']","['洞井村委会', '洞井村', '西地省', '意政府', '洞井村']",['A1区东成大厦']
反映A1区“鑫楚佳园”小区的乱象和隐患,反映A1区鑫楚佳园小区的乱象和隐患,A1区 鑫楚 佳园 小区 乱象 隐患,A1区,"['佳园', 'A1区', '鑫楚', '乱象', '隐患']","['A市医保', '比西地省', 'A市']","['A1区', '佳园']"
A1区老地方美食广场没有消防证却能正常营业,A1区老地方美食广场没有消防证却能正常营业,A1区 地方 美食 广场 消防 证 营业,A1区,"['A1区', '消防', '美食', '广场', '营业']","['壹城', '四栋', '长郡', 'A市', 'A市', '壹城', 'A市']",['A1区']
请求督促A1区政府解决我家居住权,请求督促A1区政府解决我家居住权,请求 督促 A1区 政府 解决 我家 居住权,A1区,"['A1区', '居住权', '督促', '我家', '请求']",['六路远大路至映霞'],['A1区政府']
A1区新安安置小区6栋三单元的下水井堵塞了,A1区新安安置小区6栋三单元的下水井堵塞了,A1区 新安 安置 小区 栋 单元 水井 堵塞,A1区,"['A1区', '新安', '水井', '堵塞', '单元']",[],['A1区新安']
反映A1区隆平高科拆迁项目中的违规行为,反映A1区隆平高科拆迁项目中的违规行为,A1区 隆平 高科 拆迁 项目 中 违规行为,A1区,"['A1区', '隆平', '违规行为', '高科', '拆迁']","['天津市', '请市', 'A8县']",['A1区隆平高科']
A1区马王堆街道新桥新村同鑫家园房屋漏水问题迟迟不解决,A1区马王堆街道新桥新村同鑫家园房屋漏水问题迟迟不解决,A1区 马王堆 街道 新桥 新村 同鑫 家园 房屋 漏水 迟迟 解决,A1区,"['A1区', '同鑫', '新桥', '漏水', '马王堆']","['L6县润大食品有限公司', 'A市诚鑫汇信企业管理有限公司', '汤钧', 'A市A5区旭辉国际', '汤钧', '百度了解乙方公司']",['A1区马王堆街道新桥新村']
A1区东盈商业广场开发商欺骗、愚弄全体业主,A1区东盈商业广场开发商欺骗愚弄全体业主,A1区 东盈 商业广场 开发商 欺骗 愚弄 业主,A1区,"['A1区', '东盈', '商业广场', '愚弄', '欺骗']","['西湖', '西湖', '西湖小区村委会', '西湖']",['A1区东盈商业广场开发商']
A1区紫薇路上的美聚酒店噪声扰民！,A1区紫薇路上的美聚酒店噪声扰民,A1区 紫薇 路上 美聚 酒店 噪声 扰民,A1区,"['A1区', '美聚', '紫薇', '扰民', '噪声']","['A市印印中务有限公司', 'A市A4区沙坪', '大明五组自明路']",['A1区']
A1区辉煌国际城居民楼下商铺违法开饭店，老百姓从何谈安居乐业？,A1区辉煌国际城居民楼下商铺违法开饭店老百姓从何谈安居乐业,A1区 辉煌 国际 城 居民 楼下 商铺 违法 开 饭店 老百姓 何谈 安居乐业,A1区,"['A1区', '何谈', '安居乐业', '商铺', '楼下']",['西地省山千制药机械股份有限公司'],['A1区']
A1区马坡岭街道居民区附近怎么能建大型变电站？,A1区马坡岭街道居民区附近怎么能建大型变电站,A1区 马坡岭 街道 居民区 能建 大型 变电站,A1区,"['A1区', '马坡岭', '能建', '变电站', '居民区']",['西地省山千制药机械股份有限公司'],['A1区马坡岭']
举报A1区东业上城嘉苑小区物业公司违法封堵消防通道,举报A1区东业上城嘉苑小区物业公司违法封堵消防通道,举报 A1区 东业 上城 嘉苑 小区 物业公司 违法 封堵 消防通道,A1区,"['A1区', '东业', '嘉苑', '消防通道', '封堵']","['A市公交车公司', 'A市火车站']",['A1区东业上城嘉苑小区物业公司']
A1区马坡岭街道新安小区门面老板放养狗伤人后谁能管？,A1区马坡岭街道新安小区门面老板放养狗伤人后谁能管,A1区 马坡岭 街道 新安 小区 门面 老板 放养 狗 伤人 能管,A1区,"['A1区', '马坡岭', '能管', '放养', '门面']","['A1区', '北京方东鸿润物业服务有限公司西地省分公司', '马坡岭']",['A1区马坡岭街道新安小区门面']
A1区朝阳社区金三角超市对面的烧烤摊位油烟扰民,A1区朝阳社区金三角超市对面的烧烤摊位油烟扰民,A1区 朝阳 社区 金三角 超市 对面 烧烤 摊位 油烟 扰民,A1区,"['A1区', '金三角', '油烟', '扰民', '烧烤']","['A1区', '北京方东鸿润物业服务有限公司西地省分公司', '马坡岭']",['A1区朝阳社区金三角超市']
反映A1区星城世家全体业主急盼关注解决六号路交通安全隐患问题,反映A1区星城世家全体业主急盼关注解决六号路交通安全隐患问题,A1区 星城 世家 业主 急盼 关注 解决 六号 路 交通 安全隐患,A1区,"['A1区', '星城', '急盼', '六号', '安全隐患']",['A3区滨江'],['A1区星城']
